Designator,Mid X,Mid Y,Rotation,Layer
D1,39.877323,-88.139936,180.0,bottom
D10,220.852327,-88.139936,180.0,bottom
D11,239.902327,-88.139934,180.0,bottom
D12,258.952327,-88.139933,180.0,bottom
D13,278.002326,-88.139933,180.0,bottom
D14,297.052328,-88.139933,180.0,bottom
D15,316.102326,-88.139933,180.0,bottom
D16,342.296076,-88.139931,180.0,bottom
D17,39.877326,-107.189934,180.0,bottom
D18,58.927326,-107.189934,180.0,bottom
D19,77.977327,-107.189933,180.0,bottom
D2,58.927326,-88.139933,180.0,bottom
D20,101.789827,-107.189933,180.0,bottom
D21,127.983576,-107.189933,180.0,bottom
D22,149.414827,-107.189933,180.0,bottom
D23,168.464824,-107.189936,180.0,bottom
D24,187.514827,-107.189933,180.0,bottom
D25,206.564826,-107.189936,180.0,bottom
D26,225.614827,-107.189933,180.0,bottom
D27,244.664826,-107.189936,180.0,bottom
D28,263.714826,-107.189933,180.0,bottom
D29,282.764827,-107.189933,180.0,bottom
D3,77.977322,-88.139935,180.0,bottom
D30,301.814827,-107.189936,180.0,bottom
D31,320.864829,-107.189935,180.0,bottom
D32,344.677328,-107.189935,180.0,bottom
D33,39.877326,-126.239936,180.0,bottom
D34,58.927326,-126.239933,180.0,bottom
D35,77.977327,-126.239933,180.0,bottom
D36,101.789826,-131.002433,180.0,bottom
D37,132.746077,-126.239934,180.0,bottom
D38,158.939828,-126.239935,180.0,bottom
D39,177.989825,-126.239934,180.0,bottom
D4,101.789827,-88.139934,180.0,bottom
D40,197.039826,-126.239933,180.0,bottom
D41,216.089827,-126.239933,180.0,bottom
D42,235.139825,-126.239933,180.0,bottom
D43,254.189827,-126.239934,180.0,bottom
D44,273.239825,-126.239932,180.0,bottom
D45,292.289826,-126.239933,180.0,bottom
D46,311.339827,-126.239933,180.0,bottom
D47,330.389824,-126.239933,180.0,bottom
D48,349.439827,-126.239933,180.0,bottom
D49,120.839827,-150.052433,180.0,bottom
D5,125.602324,-88.139937,180.0,bottom
D50,144.493575,-145.607436,180.0,bottom
D51,163.702326,-145.289934,180.0,bottom
D52,237.521079,-150.052434,180.0,bottom
D53,39.877326,-145.289933,180.0,bottom
D54,58.92733,-145.289933,180.0,bottom
D55,82.739823,-150.052435,180.0,bottom
D56,101.789829,-150.052433,180.0,bottom
D57,311.339826,-150.052434,180.0,bottom
D58,330.389827,-145.289936,180.0,bottom
D59,347.058576,-150.052433,180.0,bottom
D6,144.652325,-88.139933,180.0,bottom
D60,191.98045,-150.052435,180.0,bottom
D61,256.571076,-150.052434,180.0,bottom
D62,292.289826,-150.052434,180.0,bottom
D63,216.089825,-150.052434,180.0,bottom
D7,163.702327,-88.139933,180.0,bottom
